-0.370,1.397,0.749,95.398,13.062,-191.406
-0.400,1.224,0.897,104.980,4.944,-190.308
-0.477,1.215,1.016,102.051,-11.719,-198.486
-0.615,1.585,1.038,87.158,-34.912,-213.257
-0.842,2.090,0.907,67.993,-53.345,-221.497
-1.011,2.425,0.719,49.377,-64.392,-215.820
-1.107,2.551,0.556,32.349,-70.007,-201.111
-1.207,2.522,0.372,15.747,-73.120,-182.251
-1.283,2.425,0.218,4.944,-72.021,-163.208
-1.358,2.258,0.129,1.465,-65.735,-143.494
-1.503,2.071,0.219,3.296,-56.213,-123.962
-1.623,1.818,0.371,8.362,-48.157,-106.628
-1.678,1.633,0.462,8.911,-45.410,-93.689
-1.691,1.497,0.463,4.272,-46.875,-83.618
-1.682,1.388,0.470,0.000,-48.279,-74.219
-1.646,1.312,0.477,0.671,-49.744,-64.697
-1.594,1.227,0.457,3.784,-50.232,-53.589
-1.521,1.131,0.454,6.042,-48.706,-40.771
-1.474,1.024,0.443,3.357,-44.861,-26.733
-1.405,0.922,0.443,-1.953,-40.283,-14.099
-1.325,0.868,0.431,-3.967,-36.926,-5.798
-1.264,0.825,0.423,-4.150,-34.485,0.732
-1.203,0.789,0.410,-5.493,-31.616,8.179
-1.139,0.786,0.403,-7.080,-28.015,14.954
-1.093,0.784,0.429,-5.920,-24.048,21.973
-1.055,0.786,0.474,-2.319,-20.386,28.931
-1.014,0.793,0.501,4.639,-17.334,35.034
-0.973,0.774,0.530,13.245,-15.442,40.039
-0.933,0.736,0.541,19.653,-14.648,44.006
-0.918,0.748,0.536,22.705,-13.977,45.776
-0.916,0.808,0.539,22.888,-11.841,45.715
-0.928,0.938,0.587,21.545,-7.996,45.410
-0.960,1.098,0.648,20.691,-4.272,46.570
-0.973,1.227,0.694,20.813,-2.930,51.208
-0.985,1.340,0.696,16.663,-3.296,59.082
-0.995,1.347,0.651,9.460,-4.272,68.542
-0.994,1.409,0.701,2.014,-4.272,77.148
-0.991,1.392,0.682,-3.357,-4.028,86.853
-0.980,1.406,0.717,-6.897,-3.235,97.229
-0.983,1.334,0.696,-6.958,-1.831,109.131
-0.978,1.245,0.651,-1.892,0.977,119.202
-0.960,1.184,0.632,4.272,8.118,126.526
-0.927,1.107,0.649,9.888,17.029,133.606
-0.917,1.042,0.697,15.930,24.658,140.076
-0.890,0.980,0.776,20.386,29.236,144.958
-0.857,0.946,0.869,22.888,30.212,148.437
-0.825,0.931,0.928,22.705,27.039,150.879
-0.774,0.910,0.938,19.165,21.057,153.259
-0.725,0.902,0.889,11.963,14.221,155.518
-0.681,0.884,0.823,3.967,7.996,157.654
-0.582,0.841,0.755,-2.625,3.296,159.729
-0.516,0.741,0.676,-9.277,0.122,161.499
-0.485,0.585,0.639,-14.404,-1.587,161.560
-0.437,0.480,0.625,-17.944,-2.197,159.180
-0.412,0.451,0.611,-21.484,-2.930,154.419
-0.421,0.449,0.593,-24.353,-4.211,148.315
-0.441,0.434,0.560,-24.780,-5.554,143.250
-0.442,0.408,0.528,-24.231,-6.287,139.221
-0.419,0.394,0.495,-23.926,-6.226,135.559
-0.377,0.390,0.479,-24.902,-5.798,131.714
-0.379,0.426,0.481,-28.748,-5.371,128.052
-0.370,0.457,0.501,-32.043,-4.883,125.488
-0.352,0.467,0.509,-35.095,-5.188,124.878
-0.328,0.431,0.504,-37.476,-5.981,126.648
-0.306,0.347,0.473,-37.903,-7.263,128.906
-0.281,0.243,0.442,-36.499,-8.118,129.456
-0.271,0.144,0.398,-35.339,-7.996,127.441
-0.269,0.094,0.365,-35.767,-7.080,122.681
-0.273,0.077,0.349,-36.255,-5.249,116.455
-0.285,0.073,0.376,-37.354,-2.625,109.680
-0.286,0.090,0.409,-39.185,-1.038,103.760
-0.259,0.103,0.412,-40.283,-1.282,99.670
-0.239,0.096,0.407,-40.649,-1.648,96.924
-0.177,0.038,0.403,-37.964,-0.916,94.543
-0.204,0.023,0.354,-30.823,0.732,91.064
-0.229,-0.001,0.386,-25.696,3.540,87.708
-0.203,-0.052,0.470,-23.682,6.348,84.351
-0.176,-0.092,0.535,-21.240,5.676,79.590
-0.170,-0.106,0.537,-21.179,1.709,72.449
-0.165,-0.121,0.521,-23.560,-1.221,64.880
-0.182,-0.124,0.498,-26.611,-2.808,57.129
-0.188,-0.096,0.451,-29.785,-4.089,48.523
-0.182,-0.075,0.418,-32.837,-3.052,41.077
-0.205,-0.072,0.433,-36.133,1.343,35.339
-0.229,-0.056,0.515,-35.828,7.202,29.968
-0.245,-0.033,0.630,-31.433,10.559,25.085
-0.262,-0.013,0.714,-29.175,9.094,20.447
-0.280,-0.014,0.743,-30.701,3.296,16.479
-0.304,-0.035,0.713,-32.593,-4.089,13.245
-0.314,-0.057,0.655,-34.546,-10.620,9.521
-0.329,-0.056,0.572,-35.583,-15.137,4.639
-0.356,-0.026,0.517,-33.997,-17.517,-0.671
-0.405,-0.017,0.467,-31.128,-18.921,-4.944
-0.462,0.007,0.412,-29.541,-18.555,-8.789
-0.516,0.036,0.372,-28.687,-14.771,-11.902
-0.579,0.075,0.355,-23.682,-8.972,-14.526
-0.645,0.114,0.363,-15.503,-1.404,-16.052
-0.709,0.128,0.437,-4.211,7.385,-16.235
-0.750,0.115,0.552,10.437,13.977,-15.564
-0.783,0.095,0.649,23.804,16.357,-14.832
-0.833,0.108,0.676,31.677,14.221,-14.526
-0.881,0.153,0.657,31.921,9.460,-14.526
-0.895,0.191,0.617,26.733,4.761,-13.733
-0.942,0.233,0.557,19.104,0.793,-12.024
-0.964,0.271,0.504,11.719,-0.549,-9.460
-0.965,0.276,0.481,7.324,0.549,-5.737
-1.014,0.308,0.482,8.789,1.892,-3.174
-1.045,0.314,0.515,12.695,3.906,-1.404
-1.020,0.261,0.568,12.756,4.700,0.305
-1.004,0.211,0.596,6.714,2.441,0.916
