-0.265,0.837,1.506,29.602,43.579,-102.234
-0.231,0.787,1.564,33.325,32.532,-103.699
-0.217,0.772,1.576,38.574,17.334,-106.995
-0.229,0.775,1.508,43.030,1.526,-111.023
-0.257,0.826,1.452,45.471,-11.292,-115.784
-0.283,0.890,1.394,53.528,-21.729,-121.094
-0.334,0.924,1.395,65.491,-30.151,-125.793
-0.378,0.944,1.390,74.768,-38.330,-128.601
-0.392,0.946,1.336,82.703,-49.438,-131.470
-0.429,0.990,1.282,90.210,-62.439,-136.353
-0.492,1.048,1.155,97.595,-76.843,-141.541
-0.560,1.092,0.965,105.164,-90.454,-145.447
-0.680,1.238,0.780,110.474,-98.572,-148.499
-0.795,1.668,0.788,118.347,-99.915,-147.827
-0.982,1.472,0.577,130.554,-101.135,-136.719
-1.064,1.607,0.570,138.184,-99.976,-129.272
-1.180,1.645,0.561,136.963,-98.877,-120.972
-1.272,1.726,0.508,131.042,-98.877,-114.502
-1.342,1.747,0.441,130.493,-99.365,-105.347
-1.411,1.800,0.391,134.949,-95.825,-97.168
-1.490,1.895,0.415,144.836,-87.036,-88.928
-1.533,1.974,0.467,159.119,-78.613,-79.102
-1.562,2.101,0.517,170.593,-73.181,-66.406
-1.591,2.313,0.557,176.880,-72.388,-48.279
-1.626,2.441,0.512,177.490,-78.125,-21.240
-1.587,2.458,0.404,166.504,-86.792,10.498
-1.483,2.363,0.396,146.362,-95.703,44.983
-1.337,2.142,0.396,126.038,-108.215,79.651
-1.211,1.880,0.302,110.596,-124.390,105.774
-1.141,1.638,0.110,109.009,-137.085,118.958
-1.126,1.429,-0.078,116.821,-138.428,122.620
-1.111,1.304,-0.226,119.812,-123.230,121.216
-1.061,1.270,-0.343,118.774,-97.290,117.798
-0.993,1.246,-0.377,124.573,-72.937,115.417
-0.933,1.228,-0.379,130.493,-52.917,113.342
-0.907,1.222,-0.387,129.150,-35.950,112.366
-0.874,1.225,-0.393,122.192,-21.484,115.173
-0.799,1.192,-0.362,112.671,-8.667,121.521
-0.713,1.137,-0.255,103.455,1.709,129.333
-0.625,1.048,-0.133,96.375,8.118,136.414
-0.542,0.968,-0.058,87.585,8.789,141.296
-0.471,0.886,-0.026,75.256,5.066,144.592
-0.408,0.805,-0.031,62.012,0.305,146.729
-0.360,0.760,-0.022,49.072,-2.869,147.217
-0.314,0.700,-0.049,37.720,-4.761,147.827
-0.254,0.622,-0.071,26.489,-5.310,148.193
-0.204,0.557,-0.048,15.625,-4.639,146.729
-0.161,0.475,-0.034,5.676,-3.967,144.348
-0.128,0.390,-0.044,-4.089,-3.418,140.259
-0.108,0.351,-0.027,-14.099,-2.319,134.216
-0.109,0.334,0.024,-20.691,-0.305,127.014
-0.112,0.307,0.066,-20.142,1.526,120.544
-0.133,0.260,0.122,-16.785,4.395,114.075
-0.139,0.239,0.178,-13.794,8.179,106.750
-0.156,0.210,0.224,-9.644,11.963,98.816
-0.169,0.158,0.257,-3.906,15.198,91.614
-0.173,0.083,0.314,1.465,17.944,85.266
-0.178,-0.006,0.395,3.723,18.738,79.041
-0.175,-0.090,0.487,-0.305,17.090,73.853
-0.165,-0.182,0.601,-9.521,12.573,69.336
-0.168,-0.254,0.706,-20.691,4.944,64.026
-0.184,-0.283,0.785,-32.349,-4.700,56.824
-0.220,-0.286,0.835,-39.673,-15.442,48.340
-0.270,-0.311,0.826,-42.419,-27.100,39.917
-0.333,-0.330,0.780,-40.649,-36.987,30.212
-0.414,-0.302,0.707,-37.292,-42.847,19.043
-0.492,-0.249,0.629,-32.288,-44.617,7.812
-0.566,-0.193,0.563,-24.719,-43.274,-0.854
-0.625,-0.147,0.516,-15.808,-39.673,-6.042
-0.680,-0.098,0.472,-8.728,-34.668,-8.728
-0.723,-0.058,0.439,-5.310,-28.992,-8.606
-0.746,-0.051,0.433,-4.395,-23.193,-6.287
-0.752,-0.081,0.448,-5.859,-18.127,-3.662
-0.753,-0.121,0.483,-9.155,-14.282,-1.160
-0.748,-0.149,0.531,-12.207,-11.658,0.061
-0.746,-0.166,0.573,-13.611,-10.681,-0.183
-0.752,-0.157,0.591,-14.526,-11.780,-1.526
-0.765,-0.146,0.572,-14.648,-14.526,-3.418
