-1.542,-2.509,-1.251,63.232,-67.871,-15.503
-1.612,-3.195,-2.316,54.443,-98.877,-22.217
-1.761,-3.660,-3.267,7.446,-97.473,-29.114
-1.629,-3.643,-3.818,-53.345,-47.485,-44.067
-1.465,-3.127,-3.521,-121.399,29.724,-64.636
-1.185,-2.308,-2.763,-193.604,104.431,-78.918
-0.750,-1.355,-1.984,-263.672,152.161,-83.191
-0.370,-0.556,-1.240,-323.486,179.932,-84.656
-0.071,0.308,-0.515,-359.009,199.280,-98.877
0.293,1.352,0.006,-350.159,214.905,-128.967
0.859,2.295,0.343,-291.138,242.798,-174.011
1.299,3.110,1.218,-183.411,290.527,-232.849
1.366,3.323,1.952,-41.687,321.838,-276.184
1.304,3.828,2.382,59.265,321.167,-305.298
1.100,4.000,3.281,93.018,295.654,-308.960
0.768,4.000,4.000,72.327,223.206,-250.427
0.919,4.000,4.000,16.052,85.144,-127.075
0.865,4.000,3.576,-46.875,-91.553,5.615
0.735,2.983,2.410,-99.426,-258.240,107.910
0.656,2.332,1.004,-137.085,-364.319,164.917
0.508,1.582,-0.187,-137.207,-390.198,194.214
0.339,1.073,-0.841,-95.520,-347.534,191.833
0.198,0.745,-1.232,-27.649,-266.357,159.851
0.081,0.462,-1.277,47.424,-170.471,119.873
-0.022,0.250,-1.111,116.760,-84.656,77.637
-0.112,0.155,-0.803,159.363,-21.423,42.664
-0.233,0.111,-0.423,176.758,9.705,20.630
-0.388,0.031,-0.263,171.936,6.836,9.949
-0.574,-0.060,-0.261,152.161,-14.526,7.324
-0.810,-0.133,-0.368,128.113,-39.856,9.460
-1.040,-0.133,-0.492,106.873,-59.631,13.367
-1.270,-0.142,-0.675,90.759,-70.435,20.264
-1.412,-0.193,-0.844,77.698,-68.054,28.748
-1.479,-0.214,-0.950,65.979,-53.955,36.743
-1.516,-0.179,-0.967,52.429,-31.433,43.579
-1.474,-0.135,-0.843,39.063,-3.784,50.598
-1.374,-0.200,-0.572,29.724,23.071,57.739
-1.294,-0.317,-0.280,23.132,40.161,61.462
-1.263,-0.299,-0.069,11.658,42.664,58.472
-1.253,-0.155,0.014,-2.502,36.926,53.589
-1.228,-0.006,0.044,-12.878,33.264,52.734
-1.175,0.019,0.112,-14.954,35.950,55.664
-1.091,-0.002,0.217,-11.597,42.480,57.068
-1.006,-0.063,0.323,-9.216,47.913,56.396
-0.919,-0.119,0.437,-10.559,50.720,54.749
-0.846,-0.161,0.567,-15.137,49.377,53.284
-0.807,-0.146,0.686,-21.301,42.175,51.880
-0.792,-0.126,0.750,-26.611,29.724,49.622
-0.807,-0.089,0.750,-27.710,14.954,45.349
-0.828,-0.029,0.700,-24.353,0.732,40.283
-0.884,0.013,0.637,-17.273,-10.803,35.461
-0.870,0.047,0.596,-8.789,-21.606,31.738
