-0.914,-1.446,0.833,-62.500,64.514,55.969
-1.186,-1.407,1.028,-70.557,79.651,98.572
-1.267,-1.376,1.218,-57.983,79.773,146.484
-1.230,-1.298,1.237,-22.095,65.430,190.552
-1.132,-1.128,1.159,29.541,41.870,223.511
-1.059,-0.839,1.040,83.740,13.000,242.004
-0.984,-0.477,0.927,125.183,-18.311,251.770
-0.901,-0.116,0.773,150.940,-46.692,260.010
-0.823,0.196,0.635,164.917,-67.078,266.785
-0.714,0.476,0.526,165.161,-77.515,270.996
-0.555,0.756,0.403,154.114,-79.407,271.484
-0.450,0.985,0.282,130.066,-72.693,270.508
-0.393,1.140,0.247,85.632,-54.077,271.240
-0.321,1.384,0.284,35.217,-25.879,271.484
-0.241,1.827,0.455,-5.127,2.136,271.423
-0.066,2.353,0.745,-33.997,19.897,274.780
0.286,2.735,1.176,-49.866,20.447,275.757
0.695,2.716,1.491,-41.016,-2.502,257.080
1.000,2.573,1.627,-7.263,-46.021,203.857
1.173,2.528,1.614,50.659,-99.792,123.291
1.216,2.620,1.428,115.051,-151.428,43.030
1.286,2.685,1.297,155.457,-190.674,-7.263
1.306,2.630,1.217,163.025,-210.937,-20.874
1.307,2.504,1.142,138.550,-205.933,-5.676
1.283,2.235,1.032,95.154,-174.744,23.682
1.231,1.867,0.924,48.645,-121.216,48.462
1.167,1.475,0.876,5.920,-53.406,54.993
1.099,1.282,0.873,-27.527,14.832,43.335
1.023,1.163,0.909,-48.645,70.679,26.184
0.885,1.003,0.936,-61.951,105.591,14.099
0.758,0.834,0.924,-70.251,121.155,7.812
0.669,0.693,0.880,-73.486,122.742,4.456
0.606,0.585,0.852,-66.406,114.441,0.427
0.538,0.486,0.805,-50.842,97.900,-5.249
0.453,0.429,0.751,-32.898,77.087,-12.695
0.376,0.404,0.697,-16.479,56.213,-17.944
0.319,0.387,0.641,-2.380,38.147,-18.616
0.282,0.368,0.595,7.385,24.597,-16.541
0.258,0.355,0.553,10.864,15.564,-13.977
0.251,0.351,0.525,8.728,11.230,-11.475
0.253,0.360,0.527,3.479,11.353,-9.521
0.261,0.369,0.551,-4.456,14.709,-8.240
0.257,0.368,0.595,-13.367,19.287,-7.324
0.245,0.385,0.623,-20.813,23.621,-7.202
0.237,0.414,0.649,-23.376,26.672,-7.446
0.227,0.446,0.679,-19.836,27.039,-6.897
0.221,0.486,0.692,-14.221,23.987,-5.249
0.215,0.529,0.697,-10.193,18.188,-2.991
0.224,0.551,0.702,-7.996,11.108,-0.610
0.224,0.585,0.696,-7.568,3.662,0.061
0.220,0.616,0.701,-8.240,-2.686,-0.610
0.229,0.627,0.728,-8.728,-7.080,-0.854
0.234,0.643,0.740,-9.033,-11.414,-1.648
0.244,0.655,0.754,-9.155,-16.052,-3.357
0.249,0.650,0.759,-8.606,-20.020,-5.493
0.244,0.629,0.751,-8.362,-22.339,-8.850
0.236,0.613,0.755,-8.179,-22.400,-13.000
0.232,0.613,0.771,-7.202,-20.752,-16.235
0.216,0.613,0.791,-5.737,-18.555,-17.090
0.203,0.612,0.804,-3.906,-16.174,-14.648
0.210,0.608,0.803,-1.221,-13.062,-9.399
0.224,0.584,0.797,1.648,-9.399,-4.883
0.226,0.559,0.781,2.686,-6.287,-3.296
0.223,0.559,0.772,1.953,-3.113,-3.723
0.221,0.562,0.771,0.916,0.122,-3.784
0.228,0.557,0.770,0.427,2.075,-2.319
0.234,0.541,0.761,-0.244,2.380,-0.488
0.238,0.532,0.749,-1.038,2.258,0.244
0.246,0.529,0.741,-1.038,2.258,0.122
0.253,0.534,0.737,-0.671,2.319,-0.549
0.254,0.545,0.738,-0.854,2.258,-0.977
0.250,0.553,0.736,-1.709,1.587,-0.793
0.249,0.541,0.726,-2.869,0.122,0.427
0.257,0.555,0.732,-3.479,-1.099,0.610
0.255,0.547,0.782,-3.357,-1.953,0.549
0.262,0.550,0.795,-2.258,-3.967,0.488
0.259,0.547,0.788,-0.488,-6.104,0.061
0.263,0.563,0.798,2.563,-6.226,-0.244
0.271,0.583,0.789,4.822,-5.249,-0.061
0.280,0.590,0.770,4.761,-3.662,-0.061
0.287,0.593,0.750,3.357,-0.671,0.061
0.285,0.600,0.729,1.648,3.601,-0.671
0.282,0.616,0.728,-1.099,8.484,-1.343
0.284,0.622,0.739,-3.906,12.085,-1.465
0.284,0.625,0.751,-5.615,13.550,-1.038
0.280,0.614,0.757,-5.798,12.512,-0.549
0.278,0.601,0.764,-4.761,10.132,-1.404
